zip;county;state;geopoint;timezone
01041;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01050;HAMPSHIRE COUNTY;MA;42.290209,-72.87942;America/New_York
01053;HAMPSHIRE COUNTY;MA;42.353105,-72.70206;America/New_York
01054;FRANKLIN COUNTY;MA;42.479839,-72.49879;America/New_York
01056;HAMPDEN COUNTY;MA;42.174893,-72.47068;America/New_York
01057;HAMPDEN COUNTY;MA;42.089269,-72.317;America/New_York
01059;HAMPSHIRE COUNTY;MA;42.369562,-72.63599;America/New_York
01060;HAMPSHIRE COUNTY;MA;42.324539,-72.63561;America/New_York
01061;HAMPSHIRE COUNTY;MA;42.369562,-72.63599;America/New_York
01062;HAMPSHIRE COUNTY;MA;42.324232,-72.67915;America/New_York
01063;HAMPSHIRE COUNTY;MA;42.317939,-72.640234;America/New_York
01066;HAMPSHIRE COUNTY;MA;42.406697,-72.633901;America/New_York
01068;WORCESTER COUNTY;MA;42.349769,-72.04413;America/New_York
01069;HAMPDEN COUNTY;MA;42.176401,-72.32646;America/New_York
01070;HAMPSHIRE COUNTY;MA;42.515853,-72.91661;America/New_York
01071;HAMPDEN COUNTY;MA;42.165931,-72.85153;America/New_York
01072;FRANKLIN COUNTY;MA;42.486027,-72.42208;America/New_York
01073;HAMPSHIRE COUNTY;MA;42.223885,-72.72777;America/New_York
01074;WORCESTER COUNTY;MA;42.375998,-72.149388;America/New_York
01075;HAMPSHIRE COUNTY;MA;42.234891,-72.58243;America/New_York
01077;HAMPDEN COUNTY;MA;42.05283,-72.76966;America/New_York
01079;HAMPDEN COUNTY;MA;42.192892,-72.329574;America/New_York
01080;HAMPDEN COUNTY;MA;42.180563,-72.36518;America/New_York
01081;HAMPDEN COUNTY;MA;42.058024,-72.22517;America/New_York
01082;HAMPSHIRE COUNTY;MA;42.270611,-72.26067;America/New_York
01083;WORCESTER COUNTY;MA;42.20468,-72.20259;America/New_York
01084;HAMPSHIRE COUNTY;MA;42.379807,-72.89043;America/New_York
01085;HAMPDEN COUNTY;MA;42.133642,-72.75029;America/New_York
01086;HAMPDEN COUNTY;MA;42.173428,-72.847964;America/New_York
01088;HAMPSHIRE COUNTY;MA;42.388831,-72.6321;America/New_York
01089;HAMPDEN COUNTY;MA;42.112793,-72.64066;America/New_York
01090;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01092;WORCESTER COUNTY;MA;42.210777,-72.23904;America/New_York
01093;FRANKLIN COUNTY;MA;42.442673,-72.652511;America/New_York
01094;WORCESTER COUNTY;MA;42.358201,-72.140846;America/New_York
01095;HAMPDEN COUNTY;MA;42.12531,-72.44057;America/New_York
01096;HAMPSHIRE COUNTY;MA;42.415236,-72.78271;America/New_York
01097;HAMPDEN COUNTY;MA;42.161743,-72.845912;America/New_York
01098;HAMPSHIRE COUNTY;MA;42.399054,-72.93871;America/New_York
01101;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
